Estacion,Municipio,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
La Mono ,Belén de Los Andaquíes ,5.4,4.2,3.4,3.3,3.4,3.2,3.3,4,4.8,4.8,4.7,5.1
Remolinos de Caguán ,Cartagena del Chaira ,6.4,4.7,3.4,3.6,4,3.8,3.9,4.5,5,4.7,5.1,6.7
Maguare ,El Doncello ,6,4.7,3.3,3.2,3.4,3.1,3.3,4.2,4.9,4.8,5,5.9
Aeropuerto G Artunduaga ,Florencia ,5.7,4.4,3.5,3.5,3.4,3.2,3.3,4.1,4.8,4.8,4.9,5.6
Macagual ,Florencia ,5.5,4.4,3.3,3.3,3.5,3.3,3.5,4.3,4.8,4.8,4.9,5.5
Puerto Rico ,Puerto Rico ,5.1,4,3,2.9,2.9,2.5,2.7,3.6,4.3,4,4.3,5.2
San Vicente Caguán ,San Vicente del Caguán ,6.9,5.3,4.1,3.4,4,3.6,3.5,4.3,5.1,5.3,5.9,6.6
Araracuara ,Solano ,5,5,4.2,4.2,4,4.1,4.6,5.3,5.3,5.3,5.3,5.3
Tres Esquinas ,Solano ,5.8,4.2,3.5,3.3,3.4,3.4,3.9,4.3,4.8,5.3,5.3,6
Valparaíso ,Valparaíso ,5.5,4.2,3.4,3.4,3.3,3.1,3.2,3.9,4.7,4.7,5,5.7
Average,Average,5.77,4.54,3.52,3.42,3.54,3.34,3.54,4.28,4.86,4.86,5.08,5.83